pid,block,trial,keypress,rt,ori,stim,fstim,fam,cond,acc,rt_OSF
2,3,56,p,1.1179898749978747,2,72,27,1,Learned,0,yes
2,3,57,p,1.0821825419989182,3,146,110,0,Novel,1,yes
2,3,59,p,0.9797774170001504,3,93,114,1,Learned,0,yes
2,3,60,p,0.8494217919978837,3,80,18,0,Novel,1,yes
3,1,1,q,1.2260161669983063,3,95,95,1,Learned,1,yes
3,1,3,p,1.003334166998684,1,104,45,0,Novel,1,yes
3,1,4,p,1.4142072920003557,2,9,141,0,Novel,1,yes
3,1,5,p,1.246869707996666,1,20,118,1,Learned,0,yes
3,1,6,q,0.980086499999743,1,45,57,1,Learned,1,yes
3,1,7,p,2.148307916999329,3,11,128,0,Novel,1,yes
3,1,8,q,1.293746208997618,2,141,92,1,Learned,1,yes
3,1,9,p,1.1279372079952736,1,4,16,0,Novel,1,yes
3,1,10,p,1.8101702089988976,3,110,44,0,Novel,1,yes
3,1,11,q,0.9589667500040376,2,118,94,1,Learned,1,yes
3,1,12,q,1.3873119999989283,1,57,7,1,Learned,1,yes
3,1,13,p,1.0907189160061534,3,33,119,0,Novel,1,yes
3,1,14,p,1.3590142909961287,2,21,113,0,Novel,1,yes
3,1,15,p,1.3053514160055784,2,128,38,1,Learned,0,yes
3,1,16,q,1.5827592920031748,1,107,143,0,Novel,0,yes
3,1,17,p,1.0030125830016914,2,17,22,0,Novel,1,yes
3,1,19,p,0.9728266670063022,1,112,28,0,Novel,1,yes
3,1,20,p,1.909850167001423,2,14,13,0,Novel,1,yes
3,1,22,p,0.914415540995833,2,109,148,0,Novel,1,yes
3,1,23,q,0.9439398750037072,1,92,123,1,Learned,1,yes
3,1,24,q,1.0457516250025949,3,16,93,1,Learned,1,yes
3,1,25,p,2.068782750000537,1,111,83,0,Novel,1,yes
3,1,27,p,0.9485392909991788,3,36,106,0,Novel,1,yes
3,1,28,p,1.6769130829998176,2,94,124,1,Learned,0,yes
3,1,29,q,0.7883415420001256,2,7,37,1,Learned,1,yes
3,1,30,p,1.6157707079983084,1,30,50,0,Novel,1,yes
3,1,31,q,1.8797838330065133,1,119,95,1,Learned,1,yes
3,1,32,q,1.723436958003731,2,113,20,1,Learned,1,yes
3,1,33,p,1.5013067079999018,3,18,45,0,Novel,1,yes
3,1,34,q,1.841126416999032,3,29,141,0,Novel,0,yes
3,1,35,q,0.9306912079991888,2,38,118,1,Learned,1,yes
3,1,36,q,0.8597767089959234,3,143,57,1,Learned,1,yes
3,1,37,q,0.929409750002378,3,22,128,1,Learned,1,yes
3,1,38,q,0.7429775840064394,1,23,92,1,Learned,1,yes
3,1,39,p,1.0843588749994524,2,28,16,1,Learned,0,yes
3,1,40,p,1.9644686250030643,3,27,44,0,Novel,1,yes
3,1,41,p,1.016910584003199,3,114,94,0,Novel,1,yes
3,1,42,q,1.028146666998509,3,13,7,1,Learned,1,yes
3,1,43,q,0.8619576249984675,3,52,119,1,Learned,1,yes
3,1,44,p,1.1241212079985416,3,26,113,0,Novel,1,yes
3,1,45,q,1.269556499995815,3,148,38,1,Learned,1,yes
3,1,46,q,0.6896837500025867,3,25,143,0,Novel,0,yes
3,1,47,q,1.197678167001868,1,123,22,1,Learned,1,yes
3,1,48,q,0.6792793749991688,1,93,23,1,Learned,1,yes
3,1,49,q,0.6699512919949484,1,83,28,1,Learned,1,yes
3,1,50,q,0.664374083004077,1,77,13,1,Learned,1,yes
3,1,51,p,1.1412055830005556,2,32,52,0,Novel,1,yes
3,1,52,p,2.2830921670029056,2,106,148,1,Learned,0,yes
3,1,53,q,1.228618084001937,2,124,123,1,Learned,1,yes
3,1,54,p,2.167024834001495,3,37,93,1,Learned,0,yes
3,1,55,p,1.197363625004073,2,1,83,0,Novel,1,yes
3,1,56,q,1.1576254169995082,2,50,77,1,Learned,1,yes
3,1,57,q,1.7499967090043356,1,10,106,0,Novel,0,yes
3,1,58,p,1.6767303749948042,2,19,124,0,Novel,1,yes
3,1,59,p,0.8566883340026834,1,12,37,0,Novel,1,yes
3,1,60,p,1.1697905830005766,2,105,50,0,Novel,1,yes
3,2,1,q,0.989617624996754,1,106,95,1,Learned,1,yes
3,2,2,q,0.6964626670014695,3,93,20,1,Learned,1,yes
3,2,3,q,0.8966792919964064,3,113,45,1,Learned,1,yes
3,2,4,p,1.840478999998595,2,68,141,0,Novel,1,yes
3,2,6,p,1.0125898330006748,1,71,57,0,Novel,1,yes
3,2,7,q,1.1189532909993432,1,13,128,1,Learned,1,yes
3,2,8,q,0.9191910000008648,2,23,92,1,Learned,1,yes
3,2,9,p,1.2693335420044605,2,132,16,0,Novel,1,yes
3,2,10,p,1.5856487499986542,3,66,44,0,Novel,1,yes
3,2,11,p,1.196825415994681,3,67,94,0,Novel,1,yes
3,2,12,p,0.8901400419999845,2,116,7,0,Novel,1,yes
3,2,13,q,0.8668380409944803,3,57,119,1,Learned,1,yes
3,2,14,q,0.5970844590046909,2,117,113,0,Novel,0,yes
3,2,15,q,1.120694082994305,1,70,38,0,Novel,0,yes
3,2,16,q,0.6264365419992828,1,51,143,0,Novel,0,yes
3,2,17,p,1.4212603330015554,3,41,22,0,Novel,1,yes
3,2,18,p,0.9907837499995368,2,120,23,0,Novel,1,yes
3,2,19,p,1.2843230419966858,3,39,28,0,Novel,1,yes
3,2,20,p,1.0960487080010353,2,53,13,0,Novel,1,yes
3,2,21,q,1.0598071249987695,2,148,52,1,Learned,1,yes
3,2,22,q,0.8206662919983501,1,141,148,1,Learned,1,yes
3,2,23,q,1.6417280829991796,3,50,123,1,Learned,1,yes
3,2,24,q,1.1613348750033765,2,22,93,1,Learned,1,yes
3,2,25,q,1.1470894580052118,3,44,83,1,Learned,1,yes
3,2,26,q,0.8984300410011201,2,83,77,1,Learned,1,yes
3,2,27,q,0.6650063749984838,3,92,106,1,Learned,1,yes
3,2,28,p,1.5835013750038345,1,56,124,0,Novel,1,yes
3,2,29,q,0.851524875004543,3,45,37,1,Learned,1,yes
3,2,30,p,1.0579182080036844,2,62,50,0,Novel,1,yes
3,2,31,p,1.353540709002118,1,43,95,0,Novel,1,yes
3,2,32,q,1.163056792000134,1,37,20,1,Learned,1,yes
3,2,33,p,1.1080831669969484,3,69,45,0,Novel,1,yes
3,2,34,q,0.7168200000014622,3,77,141,1,Learned,1,yes
3,2,35,p,1.4903649589978158,3,20,118,1,Learned,0,yes
3,2,36,q,0.6448496669981978,1,7,57,1,Learned,1,yes
3,2,37,q,1.6862012920028064,1,52,128,1,Learned,1,yes
3,2,38,p,1.0166435000064666,3,94,92,1,Learned,0,yes
3,2,39,q,1.8527808750004624,2,143,16,1,Learned,1,yes
3,2,40,q,1.165767667000182,1,118,44,1,Learned,1,yes
3,2,41,p,0.9575246249951306,3,49,94,0,Novel,1,yes
3,2,42,q,1.877943667001091,1,61,7,0,Novel,0,yes
3,2,43,q,2.3100370000029216,2,123,119,1,Learned,1,yes
3,2,44,p,1.1942513749963837,3,125,113,0,Novel,1,yes
3,2,45,q,1.4532656669980497,2,16,38,1,Learned,1,yes
3,2,46,p,1.0930153750014142,1,129,143,0,Novel,1,yes
3,2,47,p,1.2119563330052188,3,28,22,1,Learned,0,yes
3,2,48,q,1.1346845000007306,1,124,23,1,Learned,1,yes
3,2,49,p,1.1586656250001397,1,59,28,0,Novel,1,yes
3,2,50,p,0.8854957499934244,2,130,13,0,Novel,1,yes
3,2,51,p,1.266571665997617,3,126,52,0,Novel,1,yes
3,2,52,p,1.1416460410036962,2,47,148,0,Novel,1,yes
3,2,53,p,0.8971462499976042,1,122,123,0,Novel,1,yes
3,2,54,q,1.2208098329938366,3,60,93,0,Novel,0,yes
3,2,55,p,1.0223342500030412,3,64,83,0,Novel,1,yes
3,2,56,p,1.1294611249977606,3,42,77,0,Novel,1,yes
3,2,57,q,1.6670894169947132,2,95,106,1,Learned,1,yes
3,2,58,q,1.017031916999258,1,38,124,1,Learned,1,yes
3,2,59,q,1.1594260830024723,3,119,37,1,Learned,1,yes
3,2,60,p,0.8427822500016191,2,131,50,0,Novel,1,yes
3,3,1,p,1.2061929580013384,3,91,95,0,Novel,1,yes
3,3,2,p,0.7821460830018623,3,140,20,0,Novel,1,yes
3,3,3,q,0.7484316249974654,1,113,45,1,Learned,1,yes
3,3,4,p,0.8445662500016624,1,82,141,0,Novel,1,yes
3,3,5,p,1.185222917003557,2,100,118,0,Novel,1,yes
3,3,6,p,0.7106790839970927,3,145,57,0,Novel,1,yes
3,3,7,q,1.0737167079932988,3,106,128,1,Learned,1,yes
3,3,8,q,0.8207850830003736,3,83,92,1,Learned,1,yes
3,3,9,q,1.6270989170006942,1,44,16,1,Learned,1,yes
3,3,10,q,2.4939528339964454,2,135,44,0,Novel,0,yes
3,3,11,p,1.6492143340001348,3,146,94,0,Novel,1,yes
3,3,12,p,1.086684084002627,2,101,7,0,Novel,1,yes
3,3,13,q,0.8826806670040241,1,148,119,1,Learned,1,yes
3,3,14,q,0.8211169999995036,2,77,113,1,Learned,1,yes
3,3,16,q,0.991809082996042,1,16,143,1,Learned,1,yes
3,3,17,q,0.9080483340003412,2,93,22,1,Learned,1,yes
3,3,18,q,1.0544511249972857,2,119,23,1,Learned,1,yes
3,3,19,q,0.7564236670004902,1,95,28,1,Learned,1,yes
3,3,20,p,1.1863387909979792,3,74,13,0,Novel,1,yes
3,3,21,p,1.3575245839965646,1,78,52,0,Novel,1,yes
3,3,22,p,0.8101759170021978,1,28,148,1,Learned,0,yes
3,3,23,q,1.627786290999211,2,57,123,1,Learned,1,yes
3,3,24,q,1.3746118330018362,3,123,93,1,Learned,1,yes
3,3,25,q,0.7542013749989565,2,13,83,1,Learned,1,yes
3,3,26,q,0.7323055419983575,2,52,77,1,Learned,1,yes
3,3,27,q,2.4365133330065873,3,38,106,1,Learned,1,yes
3,3,28,q,0.8809860420005862,3,124,124,1,Learned,1,yes
3,3,29,q,0.8814564589993097,3,141,37,1,Learned,1,yes
3,3,30,p,0.8701266669959296,1,88,50,0,Novel,1,yes
3,3,31,p,1.3289330420011538,1,98,95,0,Novel,1,yes
3,3,32,p,1.6254131669993512,2,20,20,1,Learned,0,yes
3,3,33,q,0.7733768329999293,1,143,45,1,Learned,1,yes
3,3,34,q,0.7239492500011693,1,50,141,1,Learned,1,yes
3,3,35,q,0.8533620000016526,3,23,118,1,Learned,1,yes
3,3,36,p,0.9807482910036924,3,76,57,0,Novel,1,yes
