pid,block,trial,keypress,rt,ori,stim,fam,cond,missed_trial,acc
3,2,2,q,0.6186275410000235,3,52,1,Famous,no,1
3,2,3,p,0.6333755419982481,2,44,0,New,no,1
3,2,4,q,0.6227149170008488,3,46,1,Famous,no,1
3,2,5,p,0.5858778750007332,2,57,0,New,no,1
3,2,6,p,0.6726044169990928,3,64,0,New,no,1
3,2,7,q,0.6206973749976896,3,35,1,Famous,no,1
3,2,8,q,0.6198531669979275,3,49,1,Famous,no,1
3,2,9,q,0.763088957999571,2,4,0,New,no,0
3,2,10,q,0.8558523339997919,1,5,1,Famous,no,1
3,2,11,p,0.6183673339983216,2,84,0,New,no,1
3,2,12,p,0.7668285829968227,1,36,1,Famous,no,0
3,2,14,p,0.6960427499980142,2,17,1,Famous,no,0
3,2,15,q,0.6289933330008353,2,32,1,Famous,no,1
3,2,16,q,0.6891043340001488,1,60,1,Famous,no,1
3,2,17,p,0.682767333000811,2,82,0,New,no,1
3,2,18,q,0.7037602499985951,3,14,1,Famous,no,1
3,2,19,q,0.7840630840000813,1,40,1,Famous,no,1
3,2,20,q,0.6986081249997369,1,74,0,New,no,0
3,2,21,q,0.6179273750021821,3,7,1,Famous,no,1
3,2,22,p,0.7021638329970301,2,12,1,Famous,no,0
3,2,23,p,0.6904023749993939,1,152,0,New,no,1
3,2,24,q,0.695696124999813,3,39,1,Famous,no,1
3,2,25,q,0.8248304580010881,2,1,1,Famous,no,1
3,2,26,q,0.6918283339982736,1,12,0,New,no,0
3,2,27,q,0.7049092919987743,2,23,1,Famous,no,1
3,2,28,q,0.7780459999994491,2,11,1,Famous,no,1
3,2,29,q,0.6334460840007523,3,97,0,New,no,0
3,2,30,q,0.7733307500020601,3,29,1,Famous,no,1
3,2,31,p,0.7580971669995051,2,71,0,New,no,1
3,2,32,q,0.7012690830015345,2,44,1,Famous,no,1
3,2,33,q,0.5993412909992912,3,45,0,New,no,0
3,2,34,q,0.8368806250000489,1,118,0,New,no,0
3,2,38,q,0.8519741249983781,2,9,1,Famous,no,1
3,2,39,p,0.6810550419977517,3,73,0,New,no,1
3,2,40,p,0.7774956670000392,3,20,1,Famous,no,0
3,2,41,q,0.7043563329971221,2,24,1,Famous,no,1
3,2,43,p,0.7610032499978843,2,120,0,New,no,1
3,2,44,q,0.5394712909983355,1,58,1,Famous,no,1
3,2,45,q,0.7807877920022293,3,33,1,Famous,no,1
3,2,46,q,0.6932099160003418,2,51,1,Famous,no,1
3,2,47,p,0.6970244170006481,1,4,1,Famous,no,0
3,2,48,p,0.7547776249994058,2,129,0,New,no,1
3,2,50,q,0.6715521250007441,1,79,0,New,no,0
3,2,52,p,0.6778308749999269,1,76,0,New,no,1
3,2,53,q,0.8595435409988568,3,21,1,Famous,no,1
3,2,54,q,0.8373689170002763,3,140,0,New,no,0
3,2,55,q,0.836456167002325,3,119,0,New,no,0
3,2,56,p,0.7247617919965705,2,101,0,New,no,1
3,2,57,q,0.707079416999477,2,41,1,Famous,no,1
3,2,58,p,0.6862107920023846,3,145,0,New,no,1
3,2,59,q,0.7624157089994696,3,108,0,New,no,0
3,2,60,q,0.6364964590029558,3,56,0,New,no,0
3,3,1,q,0.845071875002759,1,7,1,Famous,no,1
3,3,2,q,0.7814535830002569,1,33,1,Famous,no,1
3,3,3,p,0.8352186670017545,3,117,0,New,no,1
3,3,4,q,0.6201152919966262,1,80,0,New,no,0
3,3,5,q,0.8570659169999999,1,20,1,Famous,no,1
3,3,6,q,0.6155782499990892,1,9,1,Famous,no,1
3,3,7,q,0.7081445840012748,1,51,1,Famous,no,1
3,3,8,p,0.861364667001908,1,17,1,Famous,no,0
3,3,9,q,0.7018290419982804,3,5,1,Famous,no,1
3,3,10,p,0.7766387919982662,1,14,1,Famous,no,0
3,3,11,q,0.5971019589997013,3,62,0,New,no,0
3,3,12,q,0.6790492919972166,1,51,0,New,no,0
3,3,13,p,0.6986250830013887,1,1,1,Famous,no,0
3,3,15,q,0.622701792002772,1,23,0,New,no,0
3,3,16,q,0.6937828750014887,1,39,1,Famous,no,1
3,3,17,p,0.6853979580009764,2,146,0,New,no,1
3,3,18,p,0.682624583998404,1,124,0,New,no,1
3,3,19,q,0.7723948329985433,1,35,1,Famous,no,1
3,3,20,q,0.7025802919997659,2,49,1,Famous,no,1
3,3,21,p,0.5873715000016091,1,69,0,New,no,1
3,3,22,q,0.6198379999987083,3,60,1,Famous,no,1
3,3,23,p,0.7595857079977577,3,144,0,New,no,1
3,3,24,q,0.5779411250005069,3,61,0,New,no,0
3,3,25,q,0.6238879999982601,1,18,0,New,no,0
3,3,26,q,0.7011647920007817,1,32,1,Famous,no,1
3,3,27,p,0.7830849999991187,1,11,1,Famous,no,0
3,3,28,q,0.6279310000027181,2,52,1,Famous,no,1
3,3,29,p,0.6522964579999098,3,102,0,New,no,1
3,3,30,q,0.5359299579977232,3,77,0,New,no,0
3,3,31,q,0.6980366250027146,1,23,1,Famous,no,1
3,3,33,q,0.6946842500001367,1,29,1,Famous,no,1
3,3,34,p,0.6046263749994978,2,142,0,New,no,1
3,3,35,q,0.6951097920027678,2,46,1,Famous,no,1
3,3,36,q,0.615300458001002,3,41,1,Famous,no,1
3,3,37,q,0.6907076250026876,3,58,1,Famous,no,1
3,3,38,q,0.7807405420026043,2,21,1,Famous,no,1
3,3,39,q,0.7645649580008467,3,36,1,Famous,no,1
3,3,40,q,0.7785127079987433,1,12,1,Famous,no,1
3,3,41,q,0.8003250410001783,1,95,0,New,no,0
3,3,42,q,0.700304750000214,1,38,1,Famous,no,1
3,3,43,p,0.7837850420000905,2,28,1,Famous,no,0
3,3,44,q,0.5988107500015758,1,36,0,New,no,0
3,3,45,p,0.7466317919970606,2,93,0,New,no,1
3,3,46,p,0.8380447909985378,1,148,0,New,no,1
3,3,47,p,0.7948387920005189,1,66,0,New,no,1
3,3,48,p,0.6846525420005491,3,28,0,New,no,1
3,3,49,p,0.7610182500029623,2,126,0,New,no,1
3,3,51,q,0.7000625000000582,1,44,1,Famous,no,1
3,3,52,p,0.7600031660003879,3,147,0,New,no,1
3,3,53,q,0.618679457998951,3,40,1,Famous,no,1
3,3,54,p,0.759686707999208,2,109,0,New,no,1
3,3,55,p,0.6815946659990004,1,25,0,New,no,1
3,3,56,p,0.6833964159995958,3,10,0,New,no,1
3,3,57,p,0.5616040419990895,2,43,0,New,no,1
3,3,58,q,0.784421750002366,1,24,1,Famous,no,1
3,3,59,p,0.8642578750004759,2,4,1,Famous,no,0
3,3,60,p,0.687662915999681,1,42,0,New,no,1
