pid,block,trial,keypress,rt,ori,stim,fam,cond,acc
1,2,34,q,0.6119239999970887,2,12,1,Famous,1
1,2,35,p,0.6993760839977767,3,136,0,New,1
1,2,36,q,0.7154330829980609,2,11,1,Famous,1
1,2,37,q,0.8189361250006186,1,24,1,Famous,1
1,2,38,p,0.6473162500005856,1,117,0,New,1
1,2,39,p,0.6381429159991967,1,13,0,New,1
1,2,40,q,0.7589362500002608,1,8,1,Famous,1
1,2,41,q,0.6684543750016019,1,45,1,Famous,1
1,2,42,q,0.6153996670000197,2,44,1,Famous,1
1,2,43,q,0.7469050420004351,2,47,1,Famous,1
1,2,44,p,0.8157310830029019,3,21,1,Famous,0
1,2,45,q,0.6403171660022053,2,35,1,Famous,1
1,2,46,q,0.8468743749981513,2,138,0,New,0
1,2,47,p,0.6499971670018567,3,111,0,New,1
1,2,48,p,0.542016125000373,1,61,0,New,1
1,2,49,p,0.8467223340012424,3,113,0,New,1
1,2,50,q,0.6611300419972395,1,46,1,Famous,1
1,2,51,p,0.6112802909992752,3,88,0,New,1
1,2,52,p,0.5144641249971755,1,32,0,New,1
1,2,53,p,0.5472482499972102,2,45,0,New,1
1,2,54,p,0.449438250001549,2,26,0,New,1
1,2,55,q,0.6627613329983433,2,18,1,Famous,1
1,2,56,p,0.5585742910006957,1,87,0,New,1
1,2,57,q,0.7686295829989831,2,27,1,Famous,1
1,2,58,p,0.4397285000013653,2,59,0,New,1
1,2,59,q,0.6534925419982756,3,41,1,Famous,1
1,2,60,q,0.6139168749978126,2,39,1,Famous,1
1,3,1,q,0.6648928750000778,1,40,1,Famous,1
1,3,2,p,0.6487238330009859,3,144,0,New,1
1,3,3,q,0.6123588329974154,2,34,1,Famous,1
1,3,4,q,0.4745964579997235,3,12,0,New,0
1,3,5,p,0.5969622080010595,3,120,0,New,1
1,3,6,p,0.5776519999999437,1,97,0,New,1
1,3,7,p,0.6462100830030977,3,129,0,New,1
1,3,9,p,0.4867763330003072,2,23,0,New,1
1,3,10,p,0.5511383329976525,1,116,0,New,1
1,3,11,q,0.6606546659968444,1,35,1,Famous,1
1,3,12,p,0.5665102499988279,1,21,0,New,1
1,3,13,q,0.7636794999998529,1,18,1,Famous,1
1,3,14,q,0.6141094170016004,2,29,1,Famous,1
1,3,15,q,0.6123062500009837,3,44,1,Famous,1
1,3,16,q,0.6578544590011006,3,58,1,Famous,1
1,3,17,q,0.6018422500019369,3,8,1,Famous,1
1,3,18,p,0.5122121669992339,1,14,1,Famous,0
1,3,19,p,0.51407616600045,1,18,0,New,1
1,3,20,p,0.6581565420019615,1,92,0,New,1
1,3,21,p,0.5488709169985668,1,143,0,New,1
1,3,22,p,0.7535287089995109,3,75,0,New,1
1,3,23,p,0.4726013340005011,1,51,0,New,1
1,3,24,q,0.5118763330028742,3,24,1,Famous,1
1,3,25,q,0.6880697499982489,2,1,1,Famous,1
1,3,26,p,0.7015101659999345,3,132,0,New,1
1,3,27,p,0.49957108399758,3,94,0,New,1
1,3,28,p,0.5456567500004894,1,71,0,New,1
1,3,29,q,0.601410916999157,3,45,1,Famous,1
1,3,30,p,0.6601332499994896,3,16,0,New,1
1,3,31,q,0.6691288750007516,2,32,1,Famous,1
1,3,33,p,0.5020120839981246,2,67,0,New,1
1,3,34,p,0.5197515419968113,3,29,0,New,1
1,3,35,p,0.5081722920003813,1,39,1,Famous,0
1,3,36,q,0.7092737919992942,3,52,1,Famous,1
1,3,37,p,0.6195592500007479,3,20,0,New,1
1,3,38,p,0.5268364169969573,3,76,0,New,1
1,3,39,q,0.7174644580009044,1,12,1,Famous,1
1,3,40,q,0.658398292001948,3,28,1,Famous,1
1,3,41,q,0.6168657499983965,1,17,1,Famous,1
1,3,42,q,0.7561854160012444,1,41,1,Famous,1
1,3,43,p,0.4948538339995139,1,74,0,New,1
1,3,44,q,0.6703235409986519,2,37,1,Famous,1
1,3,45,q,0.616807415997755,2,36,1,Famous,1
1,3,46,p,0.6121764589988743,3,98,0,New,1
1,3,47,p,0.45654512499822886,2,10,1,Famous,0
1,3,48,p,0.6095795420005743,2,11,0,New,1
1,3,49,p,0.6976950420030334,1,135,0,New,1
1,3,50,q,0.8163313750010275,1,6,1,Famous,1
1,3,51,q,0.6115231669973582,1,38,1,Famous,1
1,3,52,q,0.6123867089991109,1,27,1,Famous,1
1,3,53,p,0.6503219170008379,3,119,0,New,1
1,3,54,q,0.6617412499981583,2,46,1,Famous,1
1,3,56,p,0.7457319589993858,3,118,0,New,1
1,3,57,p,0.5819612499981304,2,70,0,New,1
1,3,58,p,0.656950833999872,1,48,1,Famous,0
1,3,59,q,0.6600442919989291,3,11,1,Famous,1
1,3,60,p,0.7033112090030045,1,47,1,Famous,0
3,1,1,q,0.8244672500004526,2,4,1,Famous,1
3,1,2,p,0.5459344999981113,1,1,0,New,1
3,1,3,q,0.7164489170027082,3,1,1,Famous,1
3,1,4,p,0.6866710419999436,1,19,0,New,1
3,1,5,p,0.7466902919986751,2,134,0,New,1
3,1,6,p,0.6002636669982166,2,87,0,New,1
3,1,7,p,0.7770626249985071,3,47,1,Famous,0
3,1,8,p,0.8001981250017707,3,151,0,New,1
3,1,9,q,0.610481792002247,1,52,1,Famous,1
3,1,10,q,0.6604036669996276,3,3,1,Famous,1
3,1,11,p,0.7481927080007154,2,148,0,New,1
3,1,12,q,0.7133398750011111,2,34,1,Famous,1
3,1,13,p,0.6556047090016364,1,32,0,New,1
3,1,14,q,0.8148747500017635,1,28,1,Famous,1
3,1,15,p,0.6598680419992888,2,22,0,New,1
3,1,16,p,0.694740915998409,1,57,0,New,1
3,1,17,p,0.8028543750006065,3,37,0,New,1
3,1,18,q,0.706346166000003,3,35,1,Famous,1
3,1,19,p,0.7002416669965896,3,142,0,New,1
3,1,20,q,0.6605586250007036,3,26,1,Famous,1
3,1,21,q,0.6984469579983852,2,45,1,Famous,1
3,1,22,p,0.6474445419989934,2,138,0,New,1
3,1,23,q,0.6124308340004063,1,61,0,New,0
3,1,25,q,0.7596055829999386,2,48,1,Famous,1
3,1,26,p,0.6372052079968853,1,14,0,New,1
3,1,27,p,0.6252884579989768,2,50,0,New,1
3,1,28,p,0.7919930000025488,2,39,0,New,1
3,1,29,q,0.717117459000292,2,59,1,Famous,1
3,1,30,q,0.7617149580000842,3,31,1,Famous,1
3,1,31,p,0.5866250830003992,1,91,0,New,1
3,1,32,p,0.533585666998988,2,89,0,New,1
3,1,33,p,0.7054795000003651,1,36,1,Famous,0
3,1,34,q,0.7563735410003574,1,53,1,Famous,1
3,1,35,p,0.5901433330000145,1,94,0,New,1
3,1,36,q,0.717568833999394,2,38,1,Famous,1
3,1,37,p,0.6482372080026835,3,131,0,New,1
3,1,38,p,0.6519235000014305,3,93,0,New,1
