Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Corrected vision,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Submission approval rate
6a180eabbe00e8e933bd0905,69fbbd287ad72ce563b72cb7,APPROVED,Not Applicable,2026-05-28T09:45:15.513000Z,2026-05-28T10:23:28.728000Z,2026-05-28T10:45:51.723000Z,2026-05-28T10:23:29.106381Z,2294.0,NOCODE,206,I do not use glasses or contact lenses,English,31,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,99
6a180f22f858d544d5e10071,5a94f57289de8200013ecbc8,APPROVED,Not Applicable,2026-05-28T09:47:26.735000Z,2026-05-28T10:10:15.657000Z,2026-05-28T10:46:34.721000Z,2026-05-28T10:10:15.999189Z,1369.0,NOCODE,3561,I mainly use glasses,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,100
6a180fa3fee300c389ad49ae,66def1304e37adb3349f648f,APPROVED,Not Applicable,2026-05-28T09:49:23.243000Z,2026-05-28T10:27:59.958000Z,2026-05-28T10:42:24.114000Z,2026-05-28T10:28:00.324872Z,2317.0,NOCODE,4197,I do not use glasses or contact lenses,"English, Russian, Ukrainian",42,Female,White,Ukraine,United Kingdom,United Kingdom,Ukrainian,No,Part-Time,100
6a1815c377b76d2dd5fb8b91,66e9b926c782e4f47a05ec7c,APPROVED,Not Applicable,2026-05-28T10:15:35.138000Z,2026-05-28T11:03:18.970000Z,2026-05-28T11:23:26.918000Z,2026-05-28T11:03:19.333890Z,2864.0,NOCODE,3016,I do not use glasses or contact lenses,English,34,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,99
6a181af2065af7bfa61a3d52,5e371378ce5a726a3e29ef7e,APPROVED,Not Applicable,2026-05-28T10:37:38.835000Z,2026-05-28T10:59:00.266000Z,2026-05-28T11:23:28.183000Z,2026-05-28T10:59:00.603668Z,1282.0,NOCODE,637,I mainly use glasses,"Catalan, Spanish, English",25,Female,White,Spain,United Kingdom,Spain,English,Yes,Part-Time,100
6a181b781e475048f732c7c8,6a0a2c4800c921fadac1f406,APPROVED,Not Applicable,2026-05-28T10:39:57.032000Z,2026-05-28T11:01:45.215000Z,2026-05-28T11:23:29.330000Z,2026-05-28T11:01:45.568430Z,1309.0,NOCODE,104,I use both glasses and contact lenses,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,100
6a181c9a0e46896176abca33,69e3e1e44a46363f9772b8e8,APPROVED,Not Applicable,2026-05-28T10:44:42.351000Z,2026-05-28T11:28:30.075000Z,2026-05-28T11:29:10.560000Z,2026-05-28T11:28:30.435172Z,2628.0,CGMK46ZK,363,I do not use glasses or contact lenses,English,29,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,100
6a181cb81d046f13c1720128,6a0b71007ba435b086543bbb,APPROVED,Not Applicable,2026-05-28T10:45:12.273000Z,2026-05-28T11:19:28.915000Z,2026-05-28T11:20:03.447000Z,2026-05-28T11:19:29.286262Z,2057.0,CGMK46ZK,29,I mainly use glasses,English,25,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),100
6a183c97cab093f9468fbebc,69eff31277b954d2518da859,APPROVED,Not Applicable,2026-05-28T13:06:19.366000Z,2026-05-28T13:34:44.922000Z,2026-05-28T17:45:27.469000Z,2026-05-28T13:34:45.431154Z,1706.0,CGMK46ZK,193,I mainly use glasses,"English, French, Spanish",30,Female,Black,United States,United States,United States,English,No,Part-Time,100
6a3157f9db252c0946286251,6a00d3c31e08150e1a3876a8,APPROVED,Not Applicable,2026-06-16T14:05:14.982000Z,2026-06-16T14:26:35.572000Z,2026-06-16T14:38:05.339000Z,2026-06-16T14:26:35.915036Z,1281.0,CGMK46ZK,347,I mainly use glasses,English,24,Male,White,Poland,United Kingdom,Poland,English,Yes,Other,100
